"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","52","Cotton","A","Annual","A","Annual","PCT","Percent","2018","","","","8.86290322580645"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","52","Cotton","A","Annual","A","Annual","PCT","Percent","2017","","","","8.86290322580645"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","53","Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn","A","Annual","A","Annual","PCT","Percent","2017","","","","7.2748447204969"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","53","Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn","A","Annual","A","Annual","PCT","Percent","2018","","","","7.27484472049689"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","54","Manmade filaments","A","Annual","A","Annual","PCT","Percent","2017","","","","7.38888888888889"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","54","Manmade filaments","A","Annual","A","Annual","PCT","Percent","2018","","","","7.38888888888889"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","55","Manmade staple fibres","A","Annual","A","Annual","PCT","Percent","2017","","","","8.36850152905199"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","55","Manmade staple fibres","A","Annual","A","Annual","PCT","Percent","2018","","","","8.36850152905199"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","56","Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof","A","Annual","A","Annual","PCT","Percent","2017","","","","8.46666666666667"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","56","Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof","A","Annual","A","Annual","PCT","Percent","2018","","","","8.46666666666667"
